date,index,date_time,trading_symbol,type,option_type,strike,open,high,low,close,volume,open_interest,expiry_date
2026-04-15,SENSEX,2026-04-15 11:26:00+05:30,SENSEX,SPOT,,,77957.72,77962.56,77926.45,77926.45,0,,
2026-04-15,SENSEX,2026-04-15 11:27:00+05:30,SENSEX,SPOT,,,77924.3,77952.58,77922.27,77952.58,0,,
2026-04-15,SENSEX,2026-04-15 11:28:00+05:30,SENSEX,SPOT,,,77953.57,77972.44,77945.68,77945.68,0,,
2026-04-15,SENSEX,2026-04-15 11:29:00+05:30,SENSEX,SPOT,,,77945.68,77956.74,77942.56,77952.53,0,,
2026-04-15,SENSEX,2026-04-15 11:30:00+05:30,SENSEX,SPOT,,,77954.47,77976.55,77945.4,77958.08,0,,
2026-04-15,SENSEX,2026-04-15 11:31:00+05:30,SENSEX,SPOT,,,77957.91,77959.86,77947.63,77955.33,0,,
2026-04-15,SENSEX,2026-04-15 11:32:00+05:30,SENSEX,SPOT,,,77957.43,77963.63,77945.5,77947.45,0,,
2026-04-15,SENSEX,2026-04-15 11:33:00+05:30,SENSEX,SPOT,,,77947.36,77955.63,77940.6,77940.6,0,,
2026-04-15,SENSEX,2026-04-15 11:34:00+05:30,SENSEX,SPOT,,,77942.71,77958.4,77939.12,77957.63,0,,
2026-04-15,SENSEX,2026-04-15 11:35:00+05:30,SENSEX,SPOT,,,77955.5,77976.48,77955.5,77973.5,0,,
2026-04-15,SENSEX,2026-04-15 11:36:00+05:30,SENSEX,SPOT,,,77975.14,77983.85,77969.83,77981.11,0,,
2026-04-15,SENSEX,2026-04-15 11:37:00+05:30,SENSEX,SPOT,,,77982.78,77998.04,77981.54,77993.02,0,,
2026-04-15,SENSEX,2026-04-15 11:38:00+05:30,SENSEX,SPOT,,,77992.49,78002.91,77992.17,77999.13,0,,
2026-04-15,SENSEX,2026-04-15 11:39:00+05:30,SENSEX,SPOT,,,78001.5,78001.5,77989.22,77996.32,0,,
2026-04-15,SENSEX,2026-04-15 11:40:00+05:30,SENSEX,SPOT,,,77997.0,78010.07,77983.67,77992.67,0,,
2026-04-15,SENSEX,2026-04-15 11:41:00+05:30,SENSEX,SPOT,,,77991.28,78016.82,77991.28,77999.84,0,,
2026-04-15,SENSEX,2026-04-15 11:42:00+05:30,SENSEX,SPOT,,,77999.38,78011.76,77994.44,78007.5,0,,
2026-04-15,SENSEX,2026-04-15 11:43:00+05:30,SENSEX,SPOT,,,78006.28,78014.93,78000.93,78005.34,0,,
2026-04-15,SENSEX,2026-04-15 11:44:00+05:30,SENSEX,SPOT,,,78007.46,78030.81,78005.46,78030.81,0,,
2026-04-15,SENSEX,2026-04-15 11:45:00+05:30,SENSEX,SPOT,,,78025.37,78034.78,78003.87,78011.75,0,,
2026-04-15,SENSEX,2026-04-15 11:46:00+05:30,SENSEX,SPOT,,,78010.68,78012.57,77996.61,78004.7,0,,
2026-04-15,SENSEX,2026-04-15 11:47:00+05:30,SENSEX,SPOT,,,78005.21,78017.03,77998.67,78017.03,0,,
